Name,State,Country,lat,lng
Northeastern University,Boston,,,
University of Hong Kong,,Hong Kong,,
Technion,Haifa,Israel,,
Viswakarma Institute,Pune,India,,
University of Piraeus,,Athens,,
University of Washington,,,,
University of Maryland,,United States,,
Tufts University,,Massachusetts,,
Monash University,,Malaysia,,
Kharkiv State Academy of Municipal Economy,,Ukraine,,
Kokshetau Institute of Economics and Management,Kokshetau,,,
Vernadsky University,Kyiv,,,
Warsaw University of Technology,,Poland,,
Pondicherry University,,India,,
Bradley University,Peoria,,,
Illinois Institute of Technology,Tamil Nadu,India,,
Sathyabama University,Tamil Nadu,India,,
IIIT Hyderabad,Hyderabad,India,,
IIT KANPUR,kanpur,India,,
Madras university,Tamil Nadu,India,,
